fl,hp,lv,sp,pt,ar,st
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
-1,100,1,100,0,0,0
